method_id	run_id	seed	commit	validation_loss	n_runs	validation_loss_mean	validation_loss_std	delta	p_at_l	train_loss	training_seconds	actual_steps	model_tokens_M	params_M	memory_GB	evaluation_seconds	status	description
baseline	baseline-seed42-kn081-20260905T063254Z	42	c2db915f2f6870a25254402b284cb945159c8f74	2.62947016954422	2	2.6386804580688477	0.013025314944897757	0.0	0.10070865962196426	2.693044114112854	3600.29335458111	10599	640.861176	170.671168	22.376580715179443	255.2208855370991	baseline	Original ESMC-171M, AdamW, LayerNorm, default residuals/init; independent full-hour seeds 42 and 43.
baseline	baseline-seed43-kn056-20260905T063254Z	43	c2db915f2f6870a25254402b284cb945159c8f74	2.6478907465934753	2	2.6386804580688477	0.013025314944897757	0.0	0.09225794583513981	2.6998350644111633	3600.3022633739747	10546	638.029608	170.671168	22.392111778259277	191.30309449182823	baseline	Original ESMC-171M, AdamW, LayerNorm, default residuals/init; independent full-hour seeds 42 and 43.
r01_muon	r01_muon-seed42-kn081-20260905T074614Z	42	NA	2.624758470803499	2	2.6180727872997522	0.009454984284733061	0.02060767076909542	0.09661221556083431	2.6697018933296204	3600.264638945926	9635	582.567767	170.671168	21.48601531982422	436.0066445642151	keep	Hybrid Muon alone on original ESMC-171M; shared LR/WD scales 1, RMS matching, NS=5, momentum=.95.
r01_muon	r01_muon-seed43-kn056-20260905T074614Z	43	NA	2.6113871037960052	2	2.6180727872997522	0.009454984284733061	0.02060767076909542	0.0992818447672858	2.6655114316940307	3600.349717363715	9609	581.293546	170.671168	21.75391721725464	252.2065976629965	keep	Hybrid Muon alone on original ESMC-171M; shared LR/WD scales 1, RMS matching, NS=5, momentum=.95.
r02_rmsnorm	r02_rmsnorm-seed42-kn081-20260905T085726Z	42	NA	2.6085998192429543	2	2.616552331484854	0.011246550667433	0.001520455814898014	0.1036218200537681	2.667067036628723	3600.084749290254	10238	619.045755	170.559808	21.733322620391846	267.9749175407924	discard	Parameter-free transformer RMSNorm alone on retained hybrid Muon.
r02_rmsnorm	r02_rmsnorm-seed43-kn056-20260905T085726Z	43	NA	2.624504843726754	2	2.616552331484854	0.011246550667433	0.001520455814898014	0.0991815478881813	2.6717085814476014	3600.1817279141396	10207	617.466485	170.559808	21.739909648895264	259.20247074682266	discard	Parameter-free transformer RMSNorm alone on retained hybrid Muon.
r03_tokenmean	r03_tokenmean-seed42-kn081-20260905T101433Z	42	NA	2.6022557988762856	2	2.6088647805154324	0.00934651146755618	0.009208006784319878	0.11212684567856275	2.654069519042969	3600.3242070032284	9633	582.446392	170.671168	21.486016273498535	273.9966182918288	discard	Global token-mean MLM objective on R01; sequence-mean diagnostics and evaluation fixed.
r03_tokenmean	r03_tokenmean-seed43-kn056-20260905T101433Z	43	NA	2.615473762154579	2	2.6088647805154324	0.00934651146755618	0.009208006784319878	0.1070221831730501	2.650487675666809	3600.1884985477664	9671	585.053621	170.671168	21.753918170928955	225.3482087943703	discard	Global token-mean MLM objective on R01; sequence-mean diagnostics and evaluation fixed.
r04_batchbalance	r04_batchbalance-seed42-kn081-20260905T113247Z	42	NA	2.5995532013475895	2	2.6041505374014378	0.006501614998139024	0.013922249898314476	0.09560949812257497	2.659829168319702	3600.080524172634	10396	628.605445	170.671168	18.827134609222412	412.07769611803815	keep	Balance the same masked examples across DDP ranks; model and sequence-mean loss unchanged.
r04_batchbalance	r04_batchbalance-seed43-kn056-20260905T113247Z	43	NA	2.608747873455286	2	2.6041505374014378	0.006501614998139024	0.013922249898314476	0.09178944972741465	2.6589782524108885	3600.3312047100626	10339	625.485368	170.671168	19.043936252593994	257.1430572690442	keep	Balance the same masked examples across DDP ranks; model and sequence-mean loss unchanged.
r05_depthinit	r05_depthinit-seed42-kn081-20260905T125132Z	42	NA	2.6007565408945084	2	2.6163447815924883	0.022045101408619455	-0.01219424419105053	0.10223602233487235	2.6592971086502075	3600.3141882722266	10379	627.567674	170.671168	18.827134609222412	234.30130214011297	discard	Depth-scaled residual projection initialization on accepted Muon plus balanced batches.
r05_depthinit	r05_depthinit-seed43-kn056-20260905T125132Z	43	NA	2.631933022290468	2	2.6163447815924883	0.022045101408619455	-0.01219424419105053	0.10107968960834805	2.658982651233673	3600.1698706340976	10351	626.214791	170.671168	19.043936252593994	254.36580878449604	discard	Depth-scaled residual projection initialization on accepted Muon plus balanced batches.
