chain_id	precision_at_l
11as_B	0.14067278287461774
16vp_A	0.08681672025723473
1a04_A	0.6048780487804878
1a0e_A	0.41309255079006774
1a0g_B	0.1950354609929078
1a0p_A	0.26199261992619927
1a1s_A	0.536741214057508
1a2o_A	0.5360230547550432
1a2z_A	0.3181818181818182
1a39_A	0.029850746268656716
1a3a_C	0.2534246575342466
1a3w_A	0.34146341463414637
1a59_A	0.034482758620689655
1a5i_A	0.27547169811320754
1a65_A	0.375
1a6c_A	0.08431372549019608
1a6j_B	0.2611464968152866
1a6r_A	0.10021786492374728
1a6x_A	0.3563218390804598
1a78_A	0.3358208955223881
1a7j_A	0.11469534050179211
1a87_A	0.04040404040404041
1a8t_A	0.5173913043478261
1abe_A	0.5737704918032787
1ac0_A	0.4166666666666667
1ac5_A	0.38923395445134573
1ady_A	0.07857142857142857
1aei_A	0.2
1af7_A	0.44525547445255476
1afp_A	0.09803921568627451
1ag4_A	0.1553398058252427
1agj_A	0.3347107438016529
1ah1_A	0.4883720930232558
1ahs_A	0.23015873015873015
1aj8_A	0.05121293800539083
1ajo_B	0.09389671361502347
1ajz_A	0.46099290780141844
1ak7_A	0.11494252873563218
1akl_A	0.2553191489361702
1akn_A	0.3156862745098039
1ako_A	0.44029850746268656
1akp_A	0.24561403508771928
1al0_G	0.3314285714285714
1am2_A	0.10497237569060773
1am4_C	0.04020100502512563
1ao5_A	0.3050847457627119
1ao8_A	0.3333333333333333
1aox_A	0.6069651741293532
1ap7_A	0.6369047619047619
1apj_A	0.1891891891891892
1aro_L	0.3288590604026846
1asp_A	0.3784313725490196
1atg_A	0.5800865800865801
1au1_A	0.08433734939759036
1aug_A	0.44761904761904764
1auo_A	0.6100917431192661
1aut_C	0.3
1aw0_A	0.4444444444444444
1ax3_A	0.2716049382716049
1azz_A	0.3274336283185841
1b02_A	0.1003584229390681
1b06_A	0.08653846153846154
1b0u_A	0.43410852713178294
1b1j_A	0.14634146341463414
1b1y_A	0.332
1b25_D	0.0392156862745098
1b35_C	0.1347517730496454
1b3u_A	0.5509803921568628
1b54_A	0.39565217391304347
1b5s_A	0.15702479338842976
1b63_A	0.21621621621621623
1b65_A	0.12121212121212122
1b76_A	0.20588235294117646
1b87_A	0.5082872928176796
1b94_B	0.2540983606557377
1b9h_A	0.4088541666666667
1b9l_A	0.35294117647058826
1b9n_A	0.32945736434108525
1b9r_A	0.23809523809523808
1bag_A	0.3341176470588235
1bcj_1	0.18831168831168832
1bcp_A	0.07142857142857142
1bf2_A	0.3627450980392157
1bg6_A	0.45558739255014324
1bgp_A	0.061488673139158574
1bgx_T	0.13137254901960785
1bhe_A	0.6941489361702128
1bhg_A	0.3588235294117647
1bhu_A	0.1568627450980392
1bhy_A	0.31950207468879666
1bih_A	0.59846547314578
1bik_A	0.2636363636363636
1bla_A	0.0967741935483871
1ble_A	0.36645962732919257
1blx_A	0.2983606557377049
1bmv_2	0.11229946524064172
1bol_A	0.08108108108108109
1boo_A	0.41843971631205673
1bos_L	0.30434782608695654
1bou_D	0.2986577181208054
1boy_A	0.5023696682464455
1bp1_A	0.12938596491228072
1bpv_A	0.5673076923076923
1bqh_K	0.4
1bqs_A	0.5502392344497608
1bqx_A	0.35064935064935066
1bsg_A	0.3308270676691729
1buy_A	0.0963855421686747
1bvp_6	0.10888252148997135
1bw4_A	0.216
1bw9_A	0.33714285714285713
1bwd_A	0.11206896551724138
1bxn_I	0.17829457364341086
1bxr_A	0.33725490196078434
1by2_A	0.08035714285714286
1bys_A	0.5328947368421053
1c0p_A	0.32231404958677684
1c1k_A	0.1382488479262673
1c2y_T	0.632258064516129
1c3a_A	0.17037037037037037
1c3g_A	0.12941176470588237
1c3m_A	0.11724137931034483
1c4x_A	0.6192170818505338
1c7d_A	0.04929577464788732
1c7j_A	0.36907216494845363
1c7n_G	0.3756345177664975
1c7s_A	0.2823529411764706
1c89_A	0.08208955223880597
1c8b_A	0.2625
1c8n_C	0.2602739726027397
1c8o_A	0.04666666666666667
1c9k_B	0.40555555555555556
1cb8_A	0.22941176470588234
1cbf_A	0.30962343096234307
1cby_A	0.06607929515418502
1ccw_C	0.6715328467153284
1ccw_D	0.2422360248447205
1cef_A	0.30835734870317005
1cen_A	0.46107784431137727
1cfb_A	0.624390243902439
1cfr_A	0.045936395759717315
1cfz_D	0.5802469135802469
1cg8_A	0.09929078014184398
1ci0_A	0.32682926829268294
1civ_A	0.44385026737967914
1cja_A	0.20795107033639143
1cjx_A	0.24929178470254956
1cjy_A	0.28431372549019607
1ckn_A	0.05362776025236593
1cne_A	0.47692307692307695
1coj_A	0.06635071090047394
1cpz_A	0.5147058823529411
1cqx_A	0.3945409429280397
1cr5_A	0.0898876404494382
1cs8_A	0.18670886075949367
1ctt_A	0.3333333333333333
1cuo_A	0.43410852713178294
1cur_A	0.43870967741935485
1cvr_A	0.4675925925925926
1cws_A	0.29608938547486036
1cwv_A	0.4524793388429752
1cx1_A	0.5098039215686274
1cxy_A	0.1111111111111111
1cz3_B	0.3333333333333333
1cz7_D	0.1863013698630137
1czf_A	0.6
1d02_B	0.295
1d0i_H	0.5490196078431373
1d0k_A	0.20063694267515925
1d2p_A	0.30563002680965146
1d2z_D	0.0196078431372549
1d3u_B	0.23383084577114427
1d3y_B	0.25517241379310346
1d4c_A	0.20784313725490197
1d4v_B	0.44171779141104295
1d7c_A	0.1736842105263158
1d8u_A	0.10303030303030303
1d8v_A	0.057034220532319393
1dab_A	0.5607843137254902
1dam_A	0.5446428571428571
1dap_A	0.3
1dbd_A	0.12
1dbf_A	0.16535433070866143
1dbt_A	0.4978902953586498
1dce_B	0.3768996960486322
1dcj_A	0.5679012345679012
1dcn_B	0.10287081339712918
1dd1_B	0.12449799196787148
1ddl_A	0.3723404255319149
1ddz_A	0.1995841995841996
1de3_A	0.13333333333333333
1de5_A	0.3069544364508393
1dek_A	0.2987551867219917
1deu_A	0.21454545454545454
1dfd_A	0.453125
1dfm_A	0.25112107623318386
1dfo_B	0.3980815347721823
1dhm_A	0.4819277108433735
1di7_A	0.5459459459459459
1die_A	0.48346055979643765
1diq_A	0.23333333333333334
1dix_A	0.125
1djg_B	0.26862745098039215
1dl2_A	0.26666666666666666
1dl5_A	0.42902208201892744
1dlj_A	0.4552238805970149
1dlp_C	0.038461538461538464
1dm1_A	0.0821917808219178
1dmg_A	0.27325581395348836
1dml_E	0.08363636363636363
1dmu_A	0.0802675585284281
1doa_B	0.205
1dof_A	0.11948051948051948
1dq3_A	0.1960352422907489
1dq7_A	0.15625
1dqp_A	0.3521739130434783
1dqx_A	0.3333333333333333
1dr9_A	0.56
1dro_A	0.12295081967213115
1drw_A	0.4007352941176471
1ds9_A	0.3484848484848485
1dun_A	0.24166666666666667
1dvj_A	0.4811715481171548
1dw2_A	0.21428571428571427
1dxm_A	0.2595419847328244
1dxt_B	0.07482993197278912
1dys_A	0.4057971014492754
1e03_L	0.061465721040189124
1e0c_A	0.45387453874538747
1e0z_A	0.2109375
1e2k_B	0.11075949367088607
1e2o_A	0.1565217391304348
1e3c_P	0.30145530145530147
1e3d_B	0.027450980392156862
1e3p_A	0.060784313725490195
1e4e_A	0.39002932551319647
1e4y_A	0.411214953271028
1e51_B	0.5317725752508361
1e5d_A	0.5062344139650873
1e5k_A	0.5106382978723404
1e5p_A	0.08053691275167785
1e5q_D	0.2717149220489978
1e69_F	0.33840304182509506
1e6b_A	0.29896907216494845
1e6c_A	0.5117647058823529
1e6e_A	0.3785557986870897
1e6q_M	0.4188376753507014
1e7z_A	0.2254335260115607
1e8c_B	0.39235412474849096
1e9s_G	0.20140515222482436
1e9x_A	0.16926503340757237
1ec6_A	0.42528735632183906
1edg_A	0.4921052631578947
1ee9_A	0.36908517350157727
1efv_B	0.40476190476190477
1eg3_A	0.06923076923076923
1egg_B	0.18055555555555555
1eh5_A	0.4982078853046595
1eh9_A	0.3607843137254902
1ehy_A	0.6028368794326241
1ei5_A	0.21176470588235294
1eiq_A	0.33217993079584773
1eiw_A	0.42342342342342343
1eix_C	0.4525862068965517
1eiy_A	0.1072463768115942
1eje_A	0.22395833333333334
1eku_B	0.023622047244094488
1elj_A	0.42105263157894735
1elk_A	0.23529411764705882
1em8_A	0.32653061224489793
1ems_A	0.4077669902912621
1eom_A	0.45936395759717313
1ep3_A	0.5112540192926045
1eq1_A	0.10240963855421686
1eq6_A	0.13227513227513227
1eq9_A	0.34684684684684686
1erj_C	0.49859943977591037
1esc_A	0.5033112582781457
1esg_B	0.33962264150943394
1esj_A	0.4084507042253521
1esn_A	0.3054662379421222
1eu3_A	0.12857142857142856
1eu4_A	0.08333333333333333
1eu8_A	0.3931203931203931
1eud_B	0.4379746835443038
1euv_A	0.17194570135746606
1evs_A	0.10429447852760736
1ewq_A	0.12352941176470589
1ex9_A	0.4280701754385965
1exh_A	0.4636363636363636
1exk_A	0.02531645569620253
1ez0_A	0.2638888888888889
1ezw_A	0.4668587896253602
1ezx_C	0.21428571428571427
1f00_I	0.3900709219858156
1f0k_A	0.6011396011396012
1f0x_A	0.20916334661354583
1f13_A	0.19607843137254902
1f15_C	0.2670157068062827
1f1e_A	0.12582781456953643
1f1s_A	0.22549019607843138
1f2d_A	0.36070381231671556
1f56_B	0.4065934065934066
1f5q_D	0.08870967741935484
1f6f_A	0.04918032786885246
1f6o_A	0.08530805687203792
1f7c_A	0.06593406593406594
1f7r_A	0.21804511278195488
1f7s_A	0.25
1f7v_A	0.1392156862745098
1f7w_A	0.2569444444444444
1f89_A	0.4870848708487085
1f8g_A	0.48429319371727747
1f8v_A	0.0028169014084507044
1f8x_A	0.3974358974358974
1faa_A	0.49586776859504134
1fb1_A	0.1326530612244898
1fcd_A	0.3690773067331671
1fcf_A	0.36175710594315247
1fdd_A	0.29245283018867924
1fdn_A	0.43636363636363634
1fdo_A	0.22745098039215686
1fdt_A	0.624561403508772
1ffu_C	0.2508710801393728
1fg3_A	0.4350282485875706
1fg9_C	0.43333333333333335
1fgu_A	0.3170731707317073
1fhv_A	0.43167701863354035
1fiv_A	0.2831858407079646
1fj2_A	0.6157205240174672
1fjd_A	0.4807692307692308
1fk2_A	0.20430107526881722
1fk8_A	0.5833333333333334
1flc_A	0.17330210772833723
1flg_A	0.4176470588235294
1fm0_D	0.4567901234567901
1fmb_A	0.28846153846153844
1fmd_2	0.23394495412844038
1fmi_A	0.28289473684210525
1fnl_A	0.5664739884393064
1fnn_A	0.47229551451187335
1fnx_H	0.4482758620689655
1fod_1	0.08571428571428572
1foe_A	0.15760869565217392
1foh_C	0.24901960784313726
1fok_A	0.2196078431372549
1fp1_D	0.43823529411764706
1fp3_A	0.31840796019900497
1fp8_A	0.24
1fps_A	0.10632183908045977
1fq1_A	0.4098360655737705
1fq3_A	0.28193832599118945
1fqt_A	0.29357798165137616
1frd_A	0.25510204081632654
1ft5_A	0.052132701421800945
1ft9_A	0.24285714285714285
1fuj_A	0.3031674208144796
1fus_A	0.05660377358490566
1fvo_B	0.514018691588785
1fvp_A	0.19047619047619047
1fx5_A	0.07916666666666666
1fx7_A	0.29130434782608694
1fxd_A	0.46551724137931033
1fy1_A	0.30666666666666664
1fyb_A	0.17117117117117117
1fyw_A	0.436241610738255
1fzd_A	0.05583756345177665
1g0c_A	0.42178770949720673
1g0i_A	0.20634920634920634
1g0o_C	0.604982206405694
1g1c_A	0.6836734693877551
1g2b_A	0.27419354838709675
1g31_A	0.1308411214953271
1g43_A	0.3875
1g4u_S	0.21388888888888888
1g5b_B	0.4660633484162896
1g5c_A	0.3905325443786982
1g5q_A	0.5057471264367817
